Route,Type,Time
23,Send,4/25/22 2:52 PM
32,Send,4/25/22 2:53 PM
3,Send,4/25/22 2:11 PM
38,Send,4/25/22 3:47 PM
35,Send,4/26/22 8:21 AM
23,Send,5/6/22 12:23 PM
13,Send,5/6/22 2:12 PM
38,Send,5/9/22 2:45 PM
32,Send,5/6/22 3:54 PM
23,Send,5/9/22 4:18 PM
35,Send,5/10/22 8:14 AM
3,Send,1/11/22 3:48 AM
35,Send,1/10/22 4:10 PM
38,Send,1/10/22 4:11 PM
35,Send,1/10/22 4:13 PM
32,Send,1/10/22 4:25 PM
23,Send,1/11/22 1:07 PM
3,Send,1/11/22 1:38 PM
35,Send,1/11/22 1:49 PM
13,Send,1/11/22 1:49 PM
38,Send,1/11/22 5:58 PM
13,Send,6/1/22 2:31 PM
13,Send,6/1/22 2:37 PM
13,Send,6/1/22 2:37 PM
35,Send,6/1/22 3:20 PM
38,Send,6/1/22 5:03 PM
23,Send,6/1/22 5:52 PM
23,Send,6/1/22 5:52 PM
35,Send,6/1/22 5:58 PM
23,Send,6/1/22 6:02 PM
23,Send,6/1/22 6:02 PM
13,Send,6/2/22 1:25 PM
35,Send,6/2/22 1:38 PM
32,Send,6/2/22 1:40 PM
3,Send,6/2/22 2:31 PM
23,Send,6/2/22 5:21 PM
13,Send,1/11/22 1:58 PM
32,Send,1/11/22 4:49 PM
35,Send,1/12/22 7:14 AM
13,Send,1/12/22 1:19 PM
35,Send,1/12/22 1:21 PM
38,Send,1/12/22 1:34 PM
32,Send,1/12/22 2:01 PM
3,Send,1/12/22 2:46 PM
23,Send,1/12/22 2:52 PM
13,Send,1/17/22 1:39 PM
23,Send,1/17/22 2:10 PM
3,Send,1/17/22 12:43 PM
35,Send,1/17/22 1:23 PM
32,Send,1/17/22 3:59 PM
38,Send,1/17/22 5:08 PM
3,Send,5/17/22 3:33 PM
32,Send,5/17/22 1:09 PM
3,Send,5/17/22 3:23 PM
38,Send,5/17/22 5:40 PM
32,Send,5/18/22 1:20 PM
32,Send,5/18/22 1:21 PM
38,Send,5/18/22 1:49 PM
23,Send,5/17/22 5:12 PM
3,Send,5/18/22 3:19 PM
3,Send,5/18/22 3:22 PM
13,Send,5/18/22 3:22 PM
23,Send,1/18/22 12:45 PM
23,Send,1/18/22 12:45 PM
35,Send,1/18/22 1:09 PM
13,Send,1/18/22 1:21 PM
38,Send,1/18/22 6:17 PM
32,Send,1/18/22 4:13 PM
3,Send,1/18/22 2:13 PM
3,Send,1/18/22 2:13 PM
35,Send,1/19/22 12:22 PM
13,Send,1/19/22 1:37 PM
13,Send,1/19/22 1:38 PM
38,Send,1/19/22 1:50 PM
38,Send,1/19/22 1:53 PM
13,Send,1/19/22 2:07 PM
13,Send,1/19/22 2:07 PM
13,Send,6/6/22 2:03 PM
32,Send,6/3/22 2:24 PM
23,Send,6/3/22 4:01 PM
3,Send,6/3/22 4:41 PM
38,Send,6/3/22 4:51 PM
38,Send,6/4/22 11:40 AM
13,Send,6/4/22 2:08 PM
13,Send,6/4/22 2:08 PM
32,Send,6/4/22 3:09 PM
23,Send,6/4/22 3:17 PM
3,Send,6/8/22 1:18 PM
13,Send,6/8/22 12:55 PM
38,Send,6/8/22 4:52 PM
32,Send,6/8/22 1:51 PM
3,Send,7/15/22 12:12 PM
23,Send,7/15/22 3:13 PM
38,Send,7/15/22 3:43 PM
35,Send,7/15/22 6:22 PM
35,Send,7/15/22 6:22 PM
13,Send,7/18/22 1:19 PM
13,Send,7/18/22 1:19 PM
32,Send,7/18/22 1:28 PM
23,Send,7/18/22 2:37 PM
38,Send,7/18/22 4:02 PM
3,Send,6/10/22 12:41 PM
35,Send,6/10/22 6:12 PM
13,Send,6/13/22 12:52 PM
3,Send,6/13/22 4:48 PM
23,Send,6/13/22 4:52 PM
32,Send,6/13/22 2:52 PM
35,Send,6/13/22 5:57 PM
13,Send,6/10/22 2:19 PM
13,Send,6/10/22 2:20 PM
13,Send,6/10/22 2:20 PM
3,Send,6/9/22 3:32 PM
3,Send,6/9/22 3:36 PM
23,Send,6/10/22 3:57 PM
32,Send,6/10/22 4:20 PM
32,Send,6/10/22 4:40 PM
35,Send,6/10/22 7:32 AM
38,Send,6/10/22 3:12 PM
3,Send,6/10/22 12:58 PM
3,Send,6/23/22 1:41 PM
13,Send,6/23/22 2:31 PM
13,Send,6/23/22 2:31 PM
32,Send,6/23/22 2:33 PM
38,Send,6/13/22 4:03 PM
13,Send,6/14/22 1:30 PM
35,Send,6/13/22 7:38 PM
3,Send,6/14/22 2:52 PM
23,Send,6/14/22 4:52 PM
38,Send,6/14/22 3:21 PM
32,Send,6/14/22 3:25 PM
32,Send,6/14/22 3:39 PM
35,Send,6/14/22 4:32 PM
32,Send,6/20/22 1:06 PM
32,Send,6/20/22 1:09 PM
13,Send,6/20/22 1:19 PM
13,Send,6/20/22 1:21 PM
13,Send,6/20/22 1:29 PM
38,Send,6/20/22 4:13 PM
3,Send,6/20/22 4:16 PM
23,Send,6/20/22 5:03 PM
13,Send,6/21/22 1:45 PM
35,Send,6/20/22 3:46 PM
3,Send,11/14/22 3:06 PM
3,Send,11/14/22 5:00 PM
32,Send,11/14/22 1:11 PM
13,Send,11/14/22 1:18 PM
38,Send,11/14/22 3:36 PM
23,Send,11/14/22 4:16 PM
35,Send,11/14/22 4:21 PM
13,Send,7/25/22 1:38 PM
35,Send,7/25/22 4:00 PM
38,Send,7/25/22 3:54 PM
23,Send,7/25/22 4:43 PM
32,Send,7/25/22 4:56 PM
3,Send,7/25/22 4:58 PM
32,Send,7/26/22 5:03 PM
23,Send,7/26/22 6:32 PM
38,Send,7/27/22 5:05 PM
35,Send,7/27/22 4:19 PM
32,Send,7/27/22 4:35 PM
23,Send,7/27/22 4:39 PM
35,Send,7/28/22 3:40 PM
13,Send,7/28/22 4:27 PM
32,Send,7/29/22 6:05 PM
13,Send,8/1/22 1:18 PM
32,Send,8/1/22 1:31 PM
23,Send,8/1/22 3:53 PM
38,Send,8/1/22 4:32 PM
35,Send,8/1/22 4:14 PM
3,Send,8/1/22 4:42 PM
38,Send,11/11/22 1:47 PM
38,Send,11/11/22 1:47 PM
3,Send,11/11/22 2:01 PM
13,Send,11/11/22 2:42 PM
13,Send,7/26/22 2:17 PM
3,Send,7/26/22 2:37 PM
38,Send,7/26/22 2:39 PM
35,Send,7/26/22 4:17 PM
3,Send,7/27/22 3:04 PM
13,Send,7/27/22 1:42 PM
32,Send,7/28/22 4:47 PM
3,Send,7/29/22 12:31 PM
38,Send,7/29/22 1:52 PM
23,Send,7/28/22 3:04 PM
3,Send,7/28/22 3:07 PM
38,Send,7/28/22 3:07 PM
23,Send,7/29/22 2:37 PM
13,Send,7/29/22 3:30 PM
35,Send,7/29/22 4:46 PM
32,Send,8/5/22 3:39 PM
3,Send,8/5/22 1:19 PM
32,Send,8/5/22 3:30 PM
35,Send,8/5/22 5:34 PM
13,Send,8/22/22 1:09 PM
32,Send,8/22/22 2:12 PM
23,Send,8/22/22 2:22 PM
3,Send,8/22/22 3:14 PM
35,Send,8/22/22 4:48 PM
38,Send,8/22/22 3:43 PM
13,Send,8/17/22 1:28 PM
3,Send,8/17/22 2:03 PM
32,Send,8/17/22 12:01 PM
35,Send,8/17/22 3:42 PM
23,Send,8/17/22 4:11 PM
38,Send,8/17/22 4:40 PM
13,Send,8/17/22 1:43 PM
32,Send,8/18/22 12:38 PM
13,Send,8/18/22 2:39 PM
23,Send,8/18/22 2:43 PM
32,Send,8/24/22 12:36 PM
13,Send,8/24/22 12:46 PM
38,Send,8/24/22 3:13 PM
23,Send,8/24/22 3:08 PM
3,Send,8/24/22 2:57 PM
13,Send,8/25/22 1:09 PM
23,Send,8/26/22 2:05 PM
38,Send,8/26/22 2:11 PM
3,Send,8/26/22 10:57 AM
3,Send,12/31/21 12:03 PM
13,Send,12/31/21 12:11 PM
23,Send,12/31/21 3:43 PM
38,Send,12/31/21 1:07 PM
32,Send,12/31/21 2:25 PM
13,Send,1/3/22 1:28 PM
3,Send,1/3/22 1:32 PM
23,Send,1/3/22 1:50 PM
23,Send,1/3/22 1:51 PM
32,Send,1/3/22 4:02 PM
32,Send,1/3/22 4:03 PM
35,Send,1/7/22 2:51 PM
38,Send,1/7/22 3:01 PM
3,Send,1/7/22 1:45 PM
32,Send,1/7/22 4:12 PM
3,Send,2/8/22 1:19 PM
13,Send,2/8/22 1:50 PM
35,Send,2/8/22 12:44 PM
32,Send,2/8/22 3:27 PM
23,Send,2/8/22 4:30 PM
38,Send,2/8/22 5:22 PM
38,Send,2/9/22 2:45 PM
38,Send,2/9/22 2:45 PM
38,Send,2/9/22 2:46 PM
3,Send,2/9/22 3:03 PM
13,Send,2/9/22 1:07 PM
13,Send,2/9/22 1:07 PM
32,Send,2/9/22 1:39 PM
35,Send,2/9/22 1:52 PM
35,Send,2/9/22 1:52 PM
3,Send,2/9/22 3:33 PM
23,Send,2/9/22 5:09 PM
32,Send,2/10/22 12:56 PM
38,Send,2/10/22 12:56 PM
13,Send,2/10/22 2:03 PM
3,Send,2/10/22 3:17 PM
23,Send,2/10/22 3:51 PM
35,Send,2/10/22 4:05 PM
35,Send,2/10/22 4:05 PM
13,Send,2/18/22 7:42 PM
35,Send,2/18/22 3:08 PM
38,Send,2/18/22 4:16 PM
32,Send,2/21/22 3:16 PM
3,Send,2/21/22 1:24 PM
23,Send,2/14/22 6:32 PM
13,Send,2/15/22 1:00 PM
32,Send,2/15/22 2:06 PM
35,Send,2/15/22 1:59 PM
3,Send,2/15/22 3:58 PM
23,Send,2/15/22 4:56 PM
38,Send,2/16/22 4:45 AM
38,Send,2/15/22 5:20 PM
3,Send,2/16/22 3:18 PM
3,Send,2/14/22 1:16 PM
32,Send,2/14/22 5:12 PM
13,Send,2/14/22 2:03 PM
