Route,Type,Time
50,Send,11/19/22 2:27 PM
51,Send,11/19/22 10:29 AM
51,Send,11/19/22 10:29 AM
12,Send,11/19/22 11:51 AM
12,Send,11/19/22 11:52 AM
56,Send,11/19/22 1:06 PM
6,Send,11/19/22 1:57 PM
52,Send,11/17/22 1:51 PM
47,Send,11/17/22 1:53 PM
8040,Send,11/17/22 1:53 PM
8060,Send,11/17/22 3:01 PM
6,Send,11/17/22 12:23 PM
12,Send,11/17/22 4:03 PM
50,Send,11/17/22 10:12 AM
51,Send,11/17/22 2:14 PM
56,Send,11/17/22 2:21 PM
6,Send,11/17/22 2:46 PM
52,Send,11/18/22 12:53 PM
8010,Send,11/18/22 1:34 PM
6,Send,11/18/22 2:48 PM
8040,Send,11/18/22 2:54 PM
8040,Send,11/18/22 11:41 AM
51,Send,11/18/22 2:56 PM
50,Send,11/18/22 2:57 PM
47,Send,11/18/22 3:26 PM
12,Send,11/18/22 3:42 PM
12,Send,11/18/22 3:48 PM
8040,Send,11/16/22 12:02 PM
51,Send,11/16/22 12:27 PM
8010,Send,11/16/22 12:37 PM
52,Send,11/16/22 12:41 PM
56,Send,11/16/22 1:36 PM
50,Send,11/16/22 1:45 PM
50,Send,11/16/22 1:45 PM
12,Send,11/16/22 3:40 PM
52,Send,11/16/22 1:24 PM
6,Send,11/16/22 4:12 PM
47,Send,11/16/22 5:27 PM
47,Send,11/16/22 1:04 PM
8010,Send,11/17/22 12:54 PM
47,Send,11/19/22 4:12 PM
52,Send,11/21/22 11:55 AM
8010,Send,11/21/22 12:10 PM
8040,Send,11/21/22 12:52 PM
50,Send,11/21/22 12:57 PM
8040,Send,11/21/22 1:22 PM
6,Send,11/21/22 2:44 PM
51,Send,11/21/22 2:38 PM
50,Send,11/30/22 12:12 PM
50,Send,11/30/22 12:15 PM
51,Send,11/30/22 2:59 PM
47,Send,11/30/22 3:50 PM
52,Send,11/30/22 12:29 PM
52,Send,11/30/22 12:29 PM
8040,Send,11/30/22 11:50 AM
6,Send,11/30/22 1:52 PM
6,Send,11/30/22 1:54 PM
56,Send,11/30/22 4:29 PM
12,Send,11/30/22 4:32 PM
12,Send,11/22/22 3:02 PM
51,Send,11/22/22 3:41 PM
51,Send,11/23/22 10:04 AM
8060,Send,11/22/22 4:54 PM
8040,Send,11/23/22 10:43 AM
50,Send,11/23/22 10:45 AM
50,Send,11/23/22 10:45 AM
52,Send,11/23/22 11:19 AM
52,Send,11/23/22 11:19 AM
8010,Send,11/23/22 12:35 PM
8010,Send,11/23/22 12:35 PM
6,Send,11/23/22 12:21 PM
12,Send,11/23/22 12:55 PM
47,Send,11/23/22 12:57 PM
47,Send,11/21/22 4:14 PM
8010,Send,7/6/22 1:02 PM
8010,Send,7/6/22 1:08 PM
52,Send,7/6/22 12:04 PM
8040,Send,7/6/22 12:40 PM
50,Send,7/6/22 1:43 PM
6,Send,7/6/22 1:57 PM
12,Send,7/6/22 3:02 PM
47,Send,7/6/22 3:04 PM
8060,Send,7/6/22 4:05 PM
51,Send,7/6/22 4:29 PM
50,Send,7/7/22 6:28 AM
56,Send,7/6/22 4:52 PM
52,Send,7/8/22 11:45 AM
8040,Send,7/8/22 1:39 PM
12,Send,7/8/22 4:05 PM
8040,Send,7/9/22 8:54 AM
50,Send,7/9/22 8:56 AM
47,Send,7/11/22 3:19 PM
56,Send,7/11/22 4:23 PM
56,Send,7/11/22 4:26 PM
47,Send,7/15/22 12:54 PM
56,Send,7/15/22 3:55 PM
50,Send,7/5/22 12:06 PM
8010,Send,7/5/22 1:20 PM
52,Send,7/5/22 1:21 PM
8040,Send,7/5/22 2:09 PM
6,Send,7/5/22 2:50 PM
6,Send,7/5/22 2:51 PM
47,Send,7/5/22 2:52 PM
12,Send,7/5/22 4:12 PM
8040,Send,9/7/22 12:27 PM
56,Send,9/7/22 4:32 PM
52,Send,9/7/22 11:28 AM
8010,Send,9/7/22 11:34 AM
52,Send,9/14/22 12:02 PM
6,Send,9/14/22 3:37 PM
6,Send,9/14/22 3:37 PM
52,Send,9/14/22 3:53 PM
50,Send,9/14/22 12:22 PM
51,Send,9/14/22 12:25 PM
56,Send,9/14/22 2:51 PM
12,Send,9/14/22 5:10 PM
8010,Send,9/15/22 12:20 PM
8010,Send,9/15/22 12:26 PM
8060,Send,9/15/22 1:34 PM
51,Send,9/15/22 2:35 PM
6,Send,9/15/22 2:55 PM
8040,Send,9/2/22 10:38 AM
51,Send,9/2/22 11:47 AM
56,Send,9/2/22 1:51 PM
52,Send,9/2/22 11:27 AM
8040,Send,9/2/22 11:27 AM
47,Send,9/2/22 2:11 PM
12,Send,9/2/22 2:12 PM
8010,Send,9/6/22 12:35 PM
6,Send,9/6/22 1:30 PM
51,Send,9/6/22 2:37 PM
47,Send,9/6/22 3:15 PM
56,Send,9/6/22 3:43 PM
8040,Send,9/6/22 12:42 PM
52,Send,9/6/22 1:38 PM
50,Send,9/6/22 12:22 PM
50,Send,9/6/22 12:25 PM
8010,Send,9/22/22 12:31 PM
8010,Send,9/22/22 12:32 PM
52,Send,9/22/22 1:41 PM
47,Send,9/22/22 2:03 PM
