Route,Type,Time
52,Send,1/19/23 11:19 AM
8040,Send,1/19/23 2:05 PM
8040,Send,1/19/23 2:06 PM
50,Send,1/19/23 2:40 PM
50,Send,1/19/23 2:42 PM
12,Send,1/20/23 7:46 AM
47,Send,1/19/23 4:17 PM
12,Send,1/20/23 7:15 AM
12,Send,3/13/23 9:17 AM
12,Send,3/13/23 3:50 PM
47,Send,3/13/23 1:45 PM
50,Send,3/14/23 5:54 AM
8010,Send,3/13/23 3:03 PM
56,Send,3/13/23 3:20 PM
50,Send,3/14/23 12:05 PM
52,Send,3/14/23 12:30 PM
8010,Send,3/14/23 12:45 PM
6,Send,3/14/23 1:10 PM
8010,Send,3/14/23 12:37 PM
8040,Send,3/14/23 2:18 PM
47,Send,3/14/23 3:37 PM
12,Send,3/14/23 3:44 PM
56,Send,3/14/23 4:35 PM
51,Send,3/15/23 7:33 AM
52,Send,3/15/23 10:51 AM
50,Send,3/15/23 12:27 PM
8040,Send,3/15/23 12:30 PM
8010,Send,3/15/23 2:56 PM
8040,Send,3/29/23 11:34 AM
52,Send,3/29/23 12:11 PM
8010,Send,3/29/23 3:24 PM
51,Send,3/29/23 3:58 PM
51,Send,3/29/23 3:58 PM
47,Send,3/29/23 6:03 PM
47,Send,3/29/23 6:03 PM
52,Send,3/16/23 11:18 AM
8040,Send,3/16/23 11:34 AM
56,Send,3/16/23 4:09 PM
51,Send,3/16/23 3:42 PM
51,Send,3/17/23 6:38 AM
52,Send,3/17/23 10:52 AM
8010,Send,3/17/23 11:54 AM
6,Send,3/17/23 12:00 PM
8040,Send,3/17/23 12:02 PM
50,Send,3/17/23 1:02 PM
12,Send,3/17/23 1:18 PM
51,Send,3/17/23 1:24 PM
52,Send,4/3/23 12:47 PM
6,Send,4/3/23 1:02 PM
47,Send,4/3/23 1:40 PM
51,Send,4/3/23 1:46 PM
8010,Send,4/3/23 2:32 PM
56,Send,4/3/23 3:00 PM
8040,Send,4/3/23 3:26 PM
12,Send,4/3/23 3:43 PM
50,Send,4/4/23 11:46 AM
51,Send,4/4/23 12:36 PM
52,Send,4/4/23 12:46 PM
52,Send,4/4/23 12:46 PM
8010,Send,4/4/23 1:47 PM
47,Send,4/4/23 1:49 PM
6,Send,4/4/23 2:01 PM
6,Send,4/4/23 2:03 PM
47,Send,4/4/23 3:17 PM
47,Send,4/4/23 3:18 PM
