"RowID","WorkspaceName","FolderName","RouteName","RouteDesc","RouteEmail","StopName","Sequence","StopSequence","StopType","EstimatedArrivalTime","EstimatedDepartureTime","BestArrivalTime","ServiceMinutes","StopCapacity1","StopCapacity2","StopJobNumber","CustomerNumber","Phone","Email","Website","RouteRules","TimeWindow1Used","TimeWindow1Start","TimeWindow1End","TimeWindow2Used","TimeWindow2Start","TimeWindow2End","Priority","WaitMinutes","ViolationMinutes","BreakMinutes","DirectionsFromPrevious","DisplayAddressFull","DisplayAddress","DisplayAddress2","DisplayCity","DisplayState","DisplayPostal","DisplayNation","X_Longitude","Y_Latitude","MatchType","MatchTypeText","MatchedAddressFull","MatchedAddress","MatchedAddress2","MatchedCity","MatchedState","MatchedPostal","MatchedNation","MetersFromPrevious","KMsFromPrevious","MilesFromPrevious","StemMetersFromPrevious","NonStemMetersFromPrevious","MinutesFromPrevious","Comments1","Comments2","Comments3","Comments4","Comments5","Comments6","NumericComments1","PredeterminedRoute","PredeterminedSequence","DateAdded_Stop","DateModified_Stop","DateAdded_RouteStop","DateModified_RouteStop","FolderUniqueID","RouteUniqueID","StopUniqueID","DepotUniqueID","RouteStopUniqueID"
"2370","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","LMCU 55","24","23","Route Stop","06:50:41","06:50:41","","0","26.0652662721894","78.2931952662722","","12848","","","","","False","","","False","","","No Priority","0","0","0","","342 MICHIGAN ST NE, GRAND RAPIDS MI 49503 US","342 MICHIGAN ST NE","","GRAND RAPIDS","MI","49503","US","-85.660686","42.970099","3","Street Address - Automatic","342 Michigan St NE, Grand Rapids MI 49503 US","342 Michigan St NE","","Grand Rapids","MI","49503","US","1603.80886462476","1.60380886462476","0.996560638782525","0","1603.80886462476","3.69199131801724","99094","00029","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27825","","-39121"
"2371","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","EUREST-VAN ANDEL INSTITUTE","25","24","Route Stop","06:52:06","06:52:06","","0","52.1928402366864","71.3994674556213","","12028","","","","","False","","","False","","","No Priority","0","0","0","","333 BOSTWICK AVE NE, GRAND RAPIDS MI 49503 US","333 BOSTWICK AVE NE","","GRAND RAPIDS","MI","49503","US","-85.667253","42.969558","3","Street Address - Automatic","333 Bostwick Ave NE, Grand Rapids MI 49503 US","333 Bostwick Ave NE","","Grand Rapids","MI","49503","US","581.175094262969","0.581175094262969","0.361125465732294","0","581.175094262969","1.42326481826603","99033","00190","MTWRF","52","Rt6","Rt5","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-935","-27837","","-39122"
"2372","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week1_Friday","","","Grand Rapids Depot","26","","End Depot","07:02:49","07:02:49","","0","0","0","","","","","","","False","","","False","","","","0","0","0","","3440 3 Mile Rd NW, Grand Rapids, MI 49534,  49534 US","3440 3 Mile Rd NW, Grand Rapids, MI 49534","","","","49534","US","-85.754724","43.015275","3","Street Address - Automatic","3440 3 Mile Rd NW, Grand Rapids MI 49534 US","3440 3 Mile Rd NW","","Grand Rapids","MI","49534","US","14244.7920757274","14.2447920757274","8.85130354584524","14244.7920757274","0","10.7210275884718","","","","","","","","","","","","","2022/06/22 16:41","-100","-935","","-3","-38629"
"2373","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week2_Monday","","","PANOPOULOS EAST #22001","2","1","Route Stop","06:19:04","06:19:04","","0","100.280414201183","101.878047337278","","6972","","","","","False","","","False","","","No Priority","0","0","0","","2345 BURTON S.E., GRAND RAPIDS MI 49506 US","2345 BURTON S.E.","","GRAND RAPIDS","MI","49506","US","-85.610288","42.927529","3","Street Address - Automatic","2345 Burton St SE, Grand Rapids MI 49506 US","2345 Burton St SE","","Grand Rapids","MI","49506","US","27728.8085526575","27.7288085526575","17.2298830449351","27728.8085526575","0","19.0675537344068","524327","00004","MTWRF","12","Rt6","Rt2","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-936","-27868","","-39123"
"2374","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week2_Monday","","","RX OPTICAL","3","2","Route Stop","06:19:57","06:19:57","","0","29.99","31.99","","10256","","","","","False","","","False","","","No Priority","0","0","0","","1858 BRETON RD SE, GRAND RAPIDS MI 49506 US","1858 BRETON RD SE","","GRAND RAPIDS","MI","49506","US","-85.610149","42.929179","3","Street Address - Automatic","1858 Breton Rd SE, Grand Rapids MI 49506 US","1858 Breton Rd SE","","Grand Rapids","MI","49506","US","401.502661997774","0.401502661997774","0.249482190888751","0","401.502661997774","0.888004876673222","499014","00054","MTWRF","12","Rt6","Rt2","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-936","-28184","","-39124"
"2375","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week2_Monday","","","D&W 1571 PRODUCE","4","3","Route Stop","06:21:19","06:21:19","","0","40.1462721893491","51.1891124260355","","7070","","","","","False","","","False","","","No Priority","0","0","0","","1814 BRETON RD SE, GR. RAPIDS MI 49506 US","1814 BRETON RD SE","","GR. RAPIDS","MI","49506","US","-85.607957","42.929507","3","Street Address - Automatic","1814 Breton Rd SE, Grand Rapids MI 49506 US","1814 Breton Rd SE","","Grand Rapids","MI","49506","US","287.088569914819","0.287088569914819","0.178388569194255","0","287.088569914819","1.36866019852459","99061","00034","MTWRF","12","Rt6","Rt2","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-936","-27846","","-39125"
"2376","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week2_Monday","","","D&W 1571 DELI","5","4","Route Stop","06:21:19","06:21:19","","0","104.57","104.57","","7071","","","","","False","","","False","","","No Priority","0","0","0","","1814 BRETON RD SE, GR. RAPIDS MI 49506 US","1814 BRETON RD SE","","GR. RAPIDS","MI","49506","US","-85.607957","42.929507","3","Street Address - Automatic","1814 Breton Rd SE, Grand Rapids MI 49506 US","1814 Breton Rd SE","","Grand Rapids","MI","49506","US","0","0","0","0","0","0","99061","00035","MTWRF","12","Rt6","Rt2","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-936","-27847","","-39126"
"2377","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week2_Monday","","","D&W 1571 BAKERY","6","5","Route Stop","06:21:19","06:21:19","","0","46.3896449704142","49.6180473372781","","7072","","","","","False","","","False","","","No Priority","0","0","0","","1814 BRETON RD SE, GR. RAPIDS MI 49506 US","1814 BRETON RD SE","","GR. RAPIDS","MI","49506","US","-85.607957","42.929507","3","Street Address - Automatic","1814 Breton Rd SE, Grand Rapids MI 49506 US","1814 Breton Rd SE","","Grand Rapids","MI","49506","US","0","0","0","0","0","0","99061","00036","MTWRF","12","Rt6","Rt2","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-936","-27848","","-39127"
"2378","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week2_Monday","","","D&W 1571 MEAT","7","6","Route Stop","06:21:19","06:21:19","","0","83.03","83.03","","7073","","","","","False","","","False","","","No Priority","0","0","0","","1814 BRETON RD SE, GR. RAPIDS MI 49506 US","1814 BRETON RD SE","","GR. RAPIDS","MI","49506","US","-85.607957","42.929507","3","Street Address - Automatic","1814 Breton Rd SE, Grand Rapids MI 49506 US","1814 Breton Rd SE","","Grand Rapids","MI","49506","US","0","0","0","0","0","0","99061","00037","MTWRF","12","Rt6","Rt2","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-936","-27849","","-39128"
"2379","Grand Rapids Reroute Init","10Rts 51","FreqOpt_Week2_Monday","","","D&W 1571 FRONT","8","7","Route Stop","06:21:19","06:21:19","","0","58.966923076923","64.9730769230769","","7074","","","","","False","","","False","","","No Priority","0","0","0","","1814 BRETON RD SE, GR. RAPIDS MI 49506 US","1814 BRETON RD SE","","GR. RAPIDS","MI","49506","US","-85.607957","42.929507","3","Street Address - Automatic","1814 Breton Rd SE, Grand Rapids MI 49506 US","1814 Breton Rd SE","","Grand Rapids","MI","49506","US","0","0","0","0","0","0","99061","00038","MTWRF","12","Rt6","Rt2","0","","","6/22/2022 4:41:11 PM","6/22/2022 4:41:11 PM","","2022/06/22 16:41","-100","-936","-27850","","-39129"
